Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Базовое_масло_7,0186.21,"Индекс вязкости, ГОСТ 25371",–,89
Базовое_масло_7,0186.21,"Испаряемость по NOACK, ASTM D5800",%,5.4
Базовое_масло_7,0186.21,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,81.15
Базовое_масло_7,0186.21,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.34
Базовое_масло_7,0186.21,Последовательность 1 | ASTM D892,см³,10
Базовое_масло_7,0186.21,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,0186.21,Последовательность 3 | ASTM D892,см³,0
Антиоксидант_15,13775.21,,,
Антиоксидант_14,19776.19,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,14.06
Базовое_масло_16,067.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,13
Базовое_масло_16,067.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,25
Базовое_масло_16,067.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,50
Базовое_масло_16,067.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,100
Базовое_масло_16,067.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,2.69
Базовое_масло_16,067.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,1.5
Базовое_масло_1,090.25,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,784
Базовое_масло_1,090.25,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1269
Базовое_масло_1,090.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2226
Базовое_масло_1,090.25,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4106
Базовое_масло_1,090.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.29
Базовое_масло_1,090.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.36
Базовое_масло_1,090.25,"Плотность при 15°С, ASTM D4052",кг/м³,843.1
Базовое_масло_1,090.25,"Плотность при 20°С, ASTM D4052",кг/м³,839.9
Базовое_масло_9,0768.24,Деаэрация | ASTM D3427,мин,2.5
Базовое_масло_9,0768.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1325
Базовое_масло_9,0768.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2226
Базовое_масло_9,0768.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,3936
Базовое_масло_9,0768.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,7364
Базовое_масло_9,0768.24,"Индекс вязкости, ГОСТ 25371",–,117
Базовое_масло_9,0768.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,40.37
Базовое_масло_9,0768.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,6.55
Базовое_масло_9,0768.24,"Массовая доля кальция, ASTM D6481",% масс,0.00068
Базовое_масло_9,0768.24,"Массовая доля серы, ASTM D6481",% масс,0.00106
Базовое_масло_9,0768.24,"Массовая доля фосфора, ASTM D6481",% масс,0.00015
Базовое_масло_9,0768.24,"Массовая доля цинка, ASTM D6481",% масс,0.00018
Базовое_масло_9,0768.24,"Плотность при 15°С, ASTM D4052",кг/м³,801.3
Базовое_масло_9,0768.24,"Плотность при 20°С, ASTM D4052",кг/м³,797.7
Базовое_масло_9,0768.24,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_9,0768.24,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_9,0768.24,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_9,0768.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-25
Базовое_масло_9,0768.24,Температура проведения теста | -,°C,50
Противоизносная_присадка_3,041.25,,,
Противоизносная_присадка_15,KT2022021001,,,
Депрессорная_присадка_1,9518.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,213.5
Базовое_масло_3,01600.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,311
Базовое_масло_3,01600.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,581
Базовое_масло_3,01600.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,999
Базовое_масло_3,01600.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1737
Базовое_масло_3,01600.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3224
Базовое_масло_3,01600.22,"Индекс вязкости, ГОСТ 25371",–,130
Базовое_масло_3,01600.22,"Испаряемость по NOACK, ASTM D5800",%,13.1
Базовое_масло_3,01600.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21.84
Базовое_масло_3,01600.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.611
Базовое_масло_3,01600.22,"Массовая доля кальция, ASTM D6481",% масс,0.00021
Базовое_масло_3,01600.22,"Массовая доля серы, ASTM D6481",% масс,0.00025
Базовое_масло_3,01600.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00003
Базовое_масло_3,01600.22,"Массовая доля цинка, ASTM D6481",% масс,0.00005
Базовое_масло_3,01600.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-18
Базовое_масло_10,01667.22,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_10,01667.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_10,01667.22,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_10,01667.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_10,01667.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,496
Базовое_масло_10,01667.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,808
Базовое_масло_10,01667.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1348
Базовое_масло_10,01667.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2348
Базовое_масло_10,01667.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4359
Базовое_масло_10,01667.22,"Индекс вязкости, ГОСТ 25371",–,113
Базовое_масло_10,01667.22,"Испаряемость по NOACK, ASTM D5800",%,13.4
Базовое_масло_10,01667.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.88
Базовое_масло_10,01667.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.55
Базовое_масло_10,01667.22,"Массовая доля кальция, ASTM D6481",% масс,0.0012
Базовое_масло_10,01667.22,"Массовая доля серы, ASTM D6481",% масс,0.0001
Базовое_масло_10,01667.22,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_10,01667.22,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_10,01667.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_10,01667.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_10,01667.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_10,01667.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-24
Базовое_масло_13,0934.22,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_13,0934.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_13,0934.22,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_13,0934.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_13,0934.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1181
Базовое_масло_13,0934.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2011
Базовое_масло_13,0934.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4345
Базовое_масло_13,0934.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,6680
Базовое_масло_13,0934.22,"Индекс вязкости, ГОСТ 25371",–,116
Базовое_масло_13,0934.22,"Испаряемость по NOACK, ASTM D5800",%,4.6
Базовое_масло_13,0934.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,38.55
Базовое_масло_13,0934.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,6.39
Базовое_масло_13,0934.22,"Массовая доля кальция, ASTM D6481",% масс,0.00071
Базовое_масло_13,0934.22,"Массовая доля серы, ASTM D6481",% масс,0.00082
Базовое_масло_13,0934.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00016
Базовое_масло_13,0934.22,"Массовая доля цинка, ASTM D6481",% масс,0.00004
Базовое_масло_13,0934.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_13,0934.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_13,0934.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_13,0934.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-16
Базовое_масло_2,01767.22,Деэм.вода | ASTM D1401,мл,35
Базовое_масло_2,01767.22,Деэм.время | ASTM D1401,мин,30
Базовое_масло_2,01767.22,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_2,01767.22,Деэм.эмульсия | ASTM D1401,мл,5
Базовое_масло_2,01767.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1150
Базовое_масло_2,01767.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2199
Базовое_масло_2,01767.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4564
Базовое_масло_2,01767.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10045
Базовое_масло_2,01767.22,"Индекс вязкости, ГОСТ 25371",–,96
Базовое_масло_2,01767.22,"Испаряемость по NOACK, ASTM D5800",%,15.3
Базовое_масло_2,01767.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.06
Базовое_масло_2,01767.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.31
Базовое_масло_2,01767.22,"Массовая доля кальция, ASTM D6481",% масс,0.00056
Базовое_масло_2,01767.22,"Массовая доля серы, ASTM D6481",% масс,0.02433
Базовое_масло_2,01767.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00003
Базовое_масло_2,01767.22,"Массовая доля цинка, ASTM D6481",% масс,0.00005
Базовое_масло_2,01767.22,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_2,01767.22,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_2,01767.22,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_2,01767.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-17
Противоизносная_присадка_14,COMP-2022-0042-M,,,
Противоизносная_присадка_13,образец,,,
Антипенная_присадка_1,из ЦП 15.11.2022,,,
Базовое_масло_3,0444.23,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_3,0444.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_3,0444.23,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_3,0444.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_3,0444.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,542
Базовое_масло_3,0444.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,930
Базовое_масло_3,0444.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1584
Базовое_масло_3,0444.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,2869
Базовое_масло_3,0444.23,"Индекс вязкости, ГОСТ 25371",–,127
Базовое_масло_3,0444.23,"Испаряемость по NOACK, ASTM D5800",%,14.2
Базовое_масло_3,0444.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,20.6
Базовое_масло_3,0444.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.42
Базовое_масло_3,0444.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_3,0444.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_3,0444.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_3,0444.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-19
Базовое_масло_1,01044.23,Деэм.вода | ASTM D1401,мл,41
Базовое_масло_1,01044.23,Деэм.время | ASTM D1401,мин,30
Базовое_масло_1,01044.23,Деэм.масло | ASTM D1401,мл,39
Базовое_масло_1,01044.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,500
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,777
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1269
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2253
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4187
Базовое_масло_1,01044.23,"Индекс вязкости, ГОСТ 25371",–,113
Базовое_масло_1,01044.23,"Испаряемость по NOACK, ASTM D5800",%,14.5
Базовое_масло_1,01044.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.02
Базовое_масло_1,01044.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.445
Базовое_масло_1,01044.23,"Массовая доля кальция, ASTM D6481",% масс,0.00092
Базовое_масло_1,01044.23,"Массовая доля серы, ASTM D6481",% масс,0.0078
Базовое_масло_1,01044.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0031
Базовое_масло_1,01044.23,"Массовая доля цинка, ASTM D6481",% масс,0.00001
Базовое_масло_1,01044.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_1,01044.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_1,01044.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_1,01044.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-22
Дисперсант_9,02718.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,410
Дисперсант_9,02718.22,"Щелочное число, ASTM D2896",мг KOH/г,18.9
Базовое_масло_7,01045.23,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_7,01045.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_7,01045.23,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_7,01045.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_7,01045.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5413
Базовое_масло_7,01045.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,11573
Базовое_масло_7,01045.23,"Индекс вязкости, ГОСТ 25371",–,93
Базовое_масло_7,01045.23,"Испаряемость по NOACK, ASTM D5800",%,5.4
Базовое_масло_7,01045.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,77.6
Базовое_масло_7,01045.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.214
Базовое_масло_7,01045.23,"Массовая доля кальция, ASTM D6481",% масс,0.00041
Базовое_масло_7,01045.23,"Массовая доля серы, ASTM D6481",% масс,0.094
Базовое_масло_7,01045.23,"Массовая доля фосфора, ASTM D6481",% масс,0.00063
Базовое_масло_7,01045.23,"Массовая доля цинка, ASTM D6481",% масс,0.00003
Базовое_масло_7,01045.23,Последовательность 1 | ASTM D892,см³,10
Базовое_масло_7,01045.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,01045.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_7,01045.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-16
Детергент_7,синтетический,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,31.81
Детергент_16,COMP-2023-0005-M,,,
Депрессорная_присадка_2,п.14 (2023г),"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,3299
Депрессорная_присадка_2,п.14 (2023г),"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,350
Базовое_масло_3,03003.23,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_3,03003.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_3,03003.23,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_3,03003.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,403
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,625
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1001
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1694
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3075
Базовое_масло_3,03003.23,"Индекс вязкости, ГОСТ 25371",–,125
Базовое_масло_3,03003.23,"Испаряемость по NOACK, ASTM D5800",%,13.7
Базовое_масло_3,03003.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21
Базовое_масло_3,03003.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.47
Базовое_масло_3,03003.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_3,03003.23,"Массовая доля серы, ASTM D6481",% масс,0.0001
Базовое_масло_3,03003.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_3,03003.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_3,03003.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_3,03003.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_3,03003.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_3,03003.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-25
Базовое_масло_2,03275.23,Деэм.вода | ASTM D1401,мл,39
Базовое_масло_2,03275.23,Деэм.время | ASTM D1401,мин,2
Базовое_масло_2,03275.23,Деэм.масло | ASTM D1401,мл,41
Базовое_масло_2,03275.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_2,03275.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1225
Базовое_масло_2,03275.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2273
Базовое_масло_2,03275.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4718
Базовое_масло_2,03275.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10407
Базовое_масло_2,03275.23,"Индекс вязкости, ГОСТ 25371",–,97
Базовое_масло_2,03275.23,"Испаряемость по NOACK, ASTM D5800",%,12.5
Базовое_масло_2,03275.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.97
Базовое_масло_2,03275.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.42
Базовое_масло_2,03275.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_2,03275.23,"Массовая доля серы, ASTM D6481",% масс,0.099
Базовое_масло_2,03275.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_2,03275.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_2,03275.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_2,03275.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_2,03275.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_2,03275.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-18
Базовое_масло_7,03276.23,Деэм.вода | ASTM D1401,мл,39
Базовое_масло_7,03276.23,Деэм.время | ASTM D1401,мин,5
Базовое_масло_7,03276.23,Деэм.масло | ASTM D1401,мл,41
Базовое_масло_7,03276.23,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_7,03276.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5521
Базовое_масло_7,03276.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,11811
Базовое_масло_7,03276.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,24000
Базовое_масло_7,03276.23,"Индекс вязкости, ГОСТ 25371",–,92
Базовое_масло_7,03276.23,"Испаряемость по NOACK, ASTM D5800",%,5.8
Базовое_масло_7,03276.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,76.89
Базовое_масло_7,03276.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.1
Базовое_масло_7,03276.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_7,03276.23,"Массовая доля серы, ASTM D6481",% масс,0.099
Базовое_масло_7,03276.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_7,03276.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_7,03276.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_7,03276.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,03276.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_7,03276.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-16
Детергент_15,COMP-2023-0015-M,,,
Базовое_масло_7,0763.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5585
Базовое_масло_7,0763.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,12049
Базовое_масло_7,0763.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,24000
Базовое_масло_7,0763.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,48000
Базовое_масло_7,0763.24,"Индекс вязкости, ГОСТ 25371",–,94
Базовое_масло_7,0763.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,76.92
Базовое_масло_7,0763.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.2
Базовое_масло_7,0763.24,"Массовая доля кальция, ASTM D6481",% масс,0.0005
Базовое_масло_7,0763.24,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_7,0763.24,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_7,0763.24,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_7,0763.24,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_7,0763.24,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_7,0763.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-15
Антипенная_присадка_1,из ЦП от 07.12.2023,,,
Базовое_масло_1,0248.24,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_1,0248.24,Деэм.время | ASTM D1401,мин,5
Базовое_масло_1,0248.24,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_1,0248.24,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_1,0248.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,530
Базовое_масло_1,0248.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,829
Базовое_масло_1,0248.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1373
Базовое_масло_1,0248.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2418
Базовое_масло_1,0248.24,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4530
Базовое_масло_1,0248.24,"Индекс вязкости, ГОСТ 25371",–,112
Базовое_масло_1,0248.24,"Испаряемость по NOACK, ASTM D5800",%,14.2
Базовое_масло_1,0248.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.64
Базовое_масло_1,0248.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.51
Базовое_масло_1,0248.24,"Массовая доля кальция, ASTM D6481",% масс,0.0002
Базовое_масло_1,0248.24,"Массовая доля серы, ASTM D6481",% масс,0.0009
Базовое_масло_1,0248.24,"Массовая доля фосфора, ASTM D6481",% масс,0.0001
Базовое_масло_1,0248.24,"Массовая доля цинка, ASTM D6481",% масс,0.0001
Базовое_масло_1,0248.24,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_1,0248.24,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_1,0248.24,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_1,0248.24,"Температура застывания, ГОСТ 20287, метод Б",°C,-24
Базовое_масло_5,03602.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,2467
Базовое_масло_5,03602.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,4307
Базовое_масло_5,03602.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,9021
Базовое_масло_5,03602.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,17000
Базовое_масло_5,03602.23,"Индекс вязкости, ГОСТ 25371",–,115
Базовое_масло_5,03602.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,60.05
Базовое_масло_5,03602.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.57
Базовое_масло_5,03602.23,Последовательность 1 | ASTM D892,см³,0
Базовое_масло_5,03602.23,Последовательность 2 | ASTM D892,см³,0
Базовое_масло_5,03602.23,Последовательность 3 | ASTM D892,см³,0
Базовое_масло_5,03602.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-18
Загуститель_1,03377.23 10% в HVI-4,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,495.6
Детергент_1,из ЦП 21.03,,,
Базовое_масло_6,01302.25,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,640
Базовое_масло_6,01302.25,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1000
Базовое_масло_6,01302.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1682
Базовое_масло_6,01302.25,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3017
Базовое_масло_6,01302.25,"Индекс вязкости, ГОСТ 25371",–,126
Базовое_масло_6,01302.25,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,20.92
Базовое_масло_6,01302.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.446
Базовое_масло_6,01302.25,"Плотность при 15°С, ASTM D4052",кг/м³,835.5
Базовое_масло_6,01302.25,"Плотность при 20°С, ASTM D4052",кг/м³,832.2
Базовое_масло_5,01085.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,8.62
Базовое_масло_5,01085.25,"Температура застывания, ГОСТ 20287, метод Б",°C,0
Базовое_масло_3,01278.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1708
Базовое_масло_3,01278.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.5
Детергент_8,01,,,
Базовое_масло_6,0861.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1627
Базовое_масло_6,0861.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.32
Базовое_масло_9,0862.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,5986
Базовое_масло_9,0862.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,6.27
Детергент_4,02849.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,15.66
Детергент_4,02849.22,"Массовая доля кальция, ASTM D6481",% масс,5.392
Детергент_4,02849.22,"Массовая доля серы, ASTM D6481",% масс,2.378
Детергент_4,02849.22,"Массовая доля фосфора, ASTM D6481",% масс,0.95
Детергент_4,02849.22,"Массовая доля цинка, ASTM D6481",% масс,1.114
Детергент_4,02849.22,"Щелочное число, ГОСТ 11362",мг KOH/г,148.6
Детергент_4,02849.22,"Щелочное число, ASTM D2896",мг KOH/г,151.3
Базовое_масло_6,для С3 01342.25,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1732
Базовое_масло_6,для С3 01342.25,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.45
Загуститель_1,01124.25 10.3% 2гр,,,
Противоизносная_присадка_12,01037.25,,,
Депрессорная_присадка_1,DPM 131 из ЦП,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,414
Антиоксидант_12,02670.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.73
Антиоксидант_12,02670.23,Общее содержание азота | ASTM D3228,%,8.666
